,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Family,Family,Family,Family,Family,Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Freedom,Freedom,Freedom,Freedom,Freedom,Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Generosity,Generosity,Generosity,Generosity,Generosity,year,year,year,year,year
Country,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std
Italy,46.2,48,36,50,5.848076607,6.02,5.98,5.95,6.22,0.11,1.311831324,1.294,1.25114,1.395066619,0.061393328,1.334672656,1.444923282,1.04167,1.501,0.204891529,0.92872487,0.946,0.85102,1.039,0.078853969,0.243816143,0.256450713,0.18827,0.281,0.035832156,0.028119618,0.028028091,0.02556,0.03,0.001650981,0.17257193,0.16684,0.137,0.22823,0.033942696,2017,2017,2015,2019,1.58113883
Ecuador,48.2,48,44,51,2.683281573,5.99,5.98,5.97,6.03,0.02,0.92778008,0.912,0.86402,1.000820398,0.057453052,1.157387763,1.286168814,0.85974,1.33,0.214450378,0.753303244,0.736,0.685636222,0.868,0.077375833,0.47952764,0.48574,0.4027,0.556,0.056396479,0.141680929,0.140134647,0.087,0.1809,0.040303342,0.121252493,0.11541,0.10074,0.150112465,0.018458958,2017,2017,2015,2019,1.58113883
Kuwait,43,41,39,51,5.099019514,6.15,6.11,6.02,6.3,0.11,1.55566249,1.55422,1.474,1.632952452,0.069861252,1.18464375,1.259698749,0.87758,1.319,0.181563769,0.695143142,0.675,0.632105708,0.808,0.073378253,0.505997519,0.496337593,0.43166,0.55499,0.051217228,0.18218791,0.21515955,0.097,0.25609,0.075134385,0.17184396,0.16228,0.142,0.228289798,0.032940934,2017,2017,2015,2019,1.58113883
Belize,50.33333333,50,49,52,1.527525232,5.96,5.96,5.96,5.96,0,0.863711772,0.87616,0.807,0.907975316,0.051625792,0.9563226,1.081417799,0.68655,1.101,0.233835,0.459960589,0.45569,0.450191766,0.474,0.01246541,0.550939791,0.547509372,0.51231,0.593,0.040454232,0.097763691,0.096581072,0.089,0.10771,0.009410896,0.21995188,0.23684,0.183,0.240015641,0.032040635,2017,2017,2016,2018,1
Thailand,39.4,34,32,52,9.044335244,6.29,6.42,6.01,6.47,0.23,1.050013754,1.05,0.9669,1.127868772,0.062589226,1.312320491,1.409,1.04477,1.425792456,0.163553756,0.713977806,0.707,0.647239029,0.828,0.074678975,0.565274146,0.557,0.49553,0.637,0.05092803,0.029762547,0.029,0.028,0.03187,0.001844234,0.491676622,0.57212311,0.359,0.58696,0.11897067,2017,2017,2015,2019,1.58113883
Nicaragua,46.8,45,41,57,6.260990337,6.03,6.07,5.83,6.14,0.12,0.677277841,0.69384,0.59325,0.737299204,0.053158386,1.193653142,1.28721571,0.89521,1.325,0.182668208,0.716673192,0.7,0.65213,0.835,0.07613739,0.486024369,0.46582,0.435,0.55475,0.052187289,0.148355596,0.130687982,0.127,0.19317,0.029167658,0.257110843,0.27815,0.2,0.301674217,0.049376056,2017,2017,2015,2019,1.58113883
South Korea,54,55,47,57,4.123105626,5.89,5.88,5.84,5.98,0.06,1.314553689,1.301,1.24461,1.401678443,0.065273232,1.046190888,1.128274441,0.72194,1.219,0.208846003,0.948608815,0.955,0.88645,1.036,0.05950863,0.248936333,0.25168,0.159,0.33208,0.061469595,0.065202534,0.063282669,0.051,0.07857,0.012366837,0.186096873,0.18557,0.175,0.206674367,0.012986387,2017,2017,2015,2019,1.58113883
Japan,52.4,53,46,58,4.393176527,5.93,5.92,5.89,5.99,0.04,1.337745036,1.327,1.27074,1.416915178,0.060369845,1.326999566,1.419,1.06054,1.462,0.16920986,0.979099174,0.988,0.913475871,1.088,0.071605765,0.493477109,0.49615,0.445,0.553,0.040978167,0.164842147,0.163760737,0.14,0.18985,0.020689935,0.095572554,0.10224,0.069,0.120572768,0.02110656,2017,2017,2015,2019,1.58113883
Kazakhstan,57.6,60,54,60,3.286335345,5.84,5.82,5.79,5.92,0.05,1.190505254,1.173,1.12254,1.28455627,0.066225351,1.297243803,1.384369016,0.95544,1.516,0.2486262,0.63671631,0.631,0.57386,0.729,0.058071734,0.444628857,0.437454283,0.4052,0.51649,0.044880701,0.106428577,0.11132,0.08454,0.121,0.015726973,0.152868885,0.148,0.11827,0.201964423,0.030356028,2017,2017,2015,2019,1.58113883
Lithuania,52,52,42,60,6.782329983,5.93,5.9,5.81,6.15,0.13,1.23320247,1.238,1.14723,1.314582348,0.064504665,1.367415221,1.473516107,1.06411,1.527,0.201613723,0.708193988,0.716,0.62894994,0.818,0.07534499,0.255588357,0.234231785,0.18929,0.35,0.064802177,0.017675129,0.011865643,0.006,0.042,0.014285296,0.025164931,0.026,0.010164657,0.043,0.011932121,2017,2017,2015,2019,1.58113883
