Country,Happy,Economy,Family,Health,Freedom,Generous,Trust ,Year
Canada,7.175496578,10.70124817,0.922718763,73.59999847,0.9457829,0.097966127,0.371740848,2018
Canada,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,2019
Central African Republic,2.693061113,6.465948105,0.29018417,44.90000153,0.624056518,0.053440392,0.859073043,2016
Central African Republic,3.475862026,6.494116783,0.319589138,45.20000076,0.645252347,0.093754359,0.889566004,2017
Central African Republic,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,2019
Chad,4.322675228,7.63390255,0.751252234,46.70000076,0.474360883,-0.041869577,0.88863939,2015
Chad,4.029350281,7.538164139,0.616204858,47.20000076,0.525222123,0.039116725,0.819788873,2016
Chad,4.558937073,7.477691174,0.660615563,47.70000076,0.614849687,-0.004919504,0.792389929,2017
Chad,4.486325264,7.472574711,0.57725358,48.20000076,0.650354564,0.011340086,0.762879312,2018
Chad,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,2019
Chile,6.532749653,10.0220089,0.827141881,69.59999847,0.76888144,0.03110862,0.811511338,2015
Chile,6.579056263,10.02634144,0.841388166,69.69999695,0.652289748,0.09289977,0.858124971,2016
Chile,6.320119381,10.03306866,0.879840791,69.80000305,0.790116489,-0.030261263,0.835987508,2017
Chile,6.436220646,10.06591988,0.890084922,69.90000153,0.78853035,-0.070615843,0.816297412,2018
Chile,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,2019
China,5.303877831,9.515608788,0.793733716,68.40000153,,-0.260586292,,2015
China,5.32495594,9.575044632,0.741703033,68.69999695,,-0.243756711,,2016
China,5.099061489,9.636177063,0.772033215,69,0.877617598,-0.191224813,,2017
China,5.131433964,9.694375992,0.787605345,69.30000305,0.895377696,-0.174899161,,2018
China,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,2019
Colombia,6.387571812,9.471579552,0.889900029,66.80000305,0.790897965,-0.104796246,0.842899323,2015
Colombia,6.233715057,9.483036041,0.88190037,67.09999847,0.834966123,-0.105361171,0.897553861,2016
Colombia,6.157341957,9.492126465,0.909249961,67.40000153,0.837554634,-0.162942991,0.87501812,2017
Colombia,5.983512402,9.511734009,0.870970428,67.69999695,0.850765765,-0.155047998,0.854820907,2018
Colombia,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,2019
Comoros,3.972819567,7.260142326,0.621302962,57.20000076,0.560182333,0.136247516,0.793758333,2018
Comoros,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,0.780622602,2019
Congo (Brazzaville),4.690830231,8.620271683,0.642136157,56.09999847,0.85017246,-0.139432788,0.841359496,2015
Congo (Brazzaville),4.119493484,8.566148758,0.615449011,56.70000076,0.785906553,-0.107046716,0.790385723,2016
Congo (Brazzaville),4.883991241,8.493188858,0.655440509,57.29999924,0.777783453,-0.163537174,0.76278311,2017
Congo (Brazzaville),5.490214348,8.473278999,0.620622933,57.90000153,0.69870007,-0.124500982,0.738020182,2018
Congo (Brazzaville),5.194399834,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079,2019
Congo (Kinshasa),3.902741671,6.699996948,0.767235577,52.09999847,0.573763788,-0.03092446,0.866378009,2015
Congo (Kinshasa),4.521935463,6.69092226,0.864154518,52.5,0.637366712,-0.007709844,0.874999642,2016
Congo (Kinshasa),4.311033249,6.694726944,0.669688404,52.90000153,0.704239547,0.085066363,0.809181869,2017
Congo (Kinshasa),4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,0.809403598,2019
Costa Rica,6.854004383,9.598225594,0.878272951,70.69999695,0.906925678,-0.056339074,0.761419415,2015
Costa Rica,7.135617733,9.628722191,0.900701284,70.90000153,0.872971952,-0.029768212,0.780562043,2016
Costa Rica,7.22518158,9.650206566,0.92169714,71.09999847,0.93561846,-0.073179178,0.742350757,2017
Costa Rica,7.141074657,9.669425964,0.875872433,71.30000305,0.941888332,-0.104196012,0.781301796,2018
Costa Rica,7.121399879,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,2019
Croatia,5.205438137,9.951515198,0.768363416,68.40000153,0.693523049,-0.098292612,0.848545551,2015
Croatia,5.416875362,9.98966217,0.798332155,69,0.671970546,-0.06632413,0.884059787,2016
Croatia,5.343165874,10.02878857,0.770309687,69.59999847,0.715822279,-0.105906412,0.89155972,2017
Croatia,5.536271095,10.06575108,0.909806848,70.19999695,0.690855622,-0.15252924,0.925408304,2018
Croatia,5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,2019
Cyprus,5.439161301,10.32709026,0.769556105,73.09999847,0.62803483,0.108338967,0.892795146,2015
Cyprus,5.794618607,10.35237598,0.786438465,73.30000305,0.756220996,-0.033245489,0.897639513,2016
Cyprus,6.062051296,10.3863802,0.818671048,73.5,0.811670661,0.040062714,0.851206422,2017
Cyprus,6.276443005,,0.825573206,73.69999695,0.794215024,,0.848337233,2018
Cyprus,6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,2019
Czech Republic,6.608017445,10.32893276,0.911362588,68.80000305,0.808484197,-0.147829607,0.886467457,2015
Czech Republic,6.735627174,10.3526144,0.930592895,69.30000305,0.850328267,-0.199620038,0.900430739,2016
Czech Republic,6.789567947,10.39224911,0.900968969,69.80000305,0.8317855,-0.178765178,0.866524994,2017
Czech Republic,7.034165382,10.41947365,0.929163933,70.30000305,0.790132403,-0.294359624,0.851382256,2018
Czech Republic,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,2019
Denmark,7.514424801,10.72455978,0.9597013,71.5,0.94143641,0.217952549,0.191016391,2015
Denmark,7.55778265,10.73620605,0.954451501,71.80000305,0.948230565,0.134531945,0.209893376,2016
Denmark,7.593702316,10.75112534,0.952100098,72.09999847,0.955416322,0.152028441,0.18114756,2017
Denmark,7.648785591,10.75559425,0.958218873,72.40000153,0.935437799,0.015592853,0.150607437,2018
Denmark,7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456,2019
Dominican Republic,5.061862469,9.502705574,0.893197775,64.90000153,0.856025338,-0.067105874,0.755288184,2015
Dominican Republic,5.238698483,9.555362701,0.894753456,65.19999695,0.872712433,-0.081975199,0.737182975,2016
Dominican Republic,5.605202675,9.588835716,0.894368112,65.5,0.855359018,-0.123324633,0.760489643,2017
