,Country,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Workforce Ratio Five Year Average,Workforce Ratio Five Year Median,Workforce Ratio Five Year Max,Workforce Ratio Five Year Min,Workforce Ratio Five Year STD
132,Latin America & Caribbean (IDA & IBRD),66.68126706,67.20094139,67.75148068,68.35681643,68.4291473,67.68393057,67.75148068,68.4291473,66.68126706,0.750216475
133,Latvia,80.04741576,81.78688625,81.18291084,81.40281747,81.48369922,81.18074591,81.40281747,81.78688625,80.04741576,0.66950439
134,Least developed countries: UN classification,74.16207174,74.57492181,75.09885049,75.44200052,75.58260802,74.97209052,75.09885049,75.58260802,74.16207174,0.596550192
135,Lebanon,31.60237947,31.70038844,31.81011081,31.97891635,32.03192743,31.8247445,31.81011081,32.03192743,31.60237947,0.181534092
136,Lesotho,78.64024098,78.9094569,79.12613144,79.43910276,79.22016095,79.06701861,79.12613144,79.43910276,78.64024098,0.305105865
137,Liberia,87.55336758,88.57945963,88.93878959,89.32034179,89.38535082,88.75546188,88.93878959,89.38535082,87.55336758,0.745899782
138,Libya,52.47041752,52.34830234,52.23686003,52.13275644,51.98132381,52.23393203,52.23686003,52.47041752,51.98132381,0.189117649
140,Lithuania,83.92571529,84.17471783,84.03859923,83.65231785,83.46324178,83.8509184,83.92571529,84.17471783,83.46324178,0.289568679
141,Low & middle income,64.16193541,64.15956271,64.18354101,64.24692339,64.0800389,64.16640028,64.16193541,64.24692339,64.0800389,0.059797055
142,Low income,78.31474706,78.65718754,79.00003147,79.31489033,79.34704154,78.92677959,79.00003147,79.34704154,78.31474706,0.441553955
143,Lower middle income,47.8189054,47.77010886,47.76769307,47.93417152,47.94132515,47.8464408,47.8189054,47.94132515,47.76769307,0.085856985
144,Luxembourg,82.17973849,82.03968403,84.9439482,85.98327802,86.24784521,84.27889879,84.9439482,86.24784521,82.03968403,2.039883942
145,"Macao SAR, China",86.31550468,87.02725791,85.70400553,85.12094109,84.93918453,85.82137875,85.70400553,87.02725791,84.93918453,0.863272989
146,Madagascar,93.19013137,93.37623909,93.55331564,93.72699863,93.74170583,93.51767811,93.55331564,93.74170583,93.19013137,0.235884186
147,Malawi,88.36965592,88.82285426,89.26806077,89.72105702,89.50827929,89.13798145,89.26806077,89.72105702,88.36965592,0.543977827
148,Malaysia,65.0344066,65.57759025,65.64924577,65.67107724,65.81930796,65.55032556,65.64924577,65.81930796,65.0344066,0.301510134
149,Maldives,54.66747646,52.37050064,51.63317867,49.94413995,49.43070532,51.60920021,51.63317867,54.66747646,49.43070532,2.088747986
150,Mali,75.4558256,75.58059062,75.75536004,75.98923871,75.9778223,75.75176745,75.75536004,75.98923871,75.4558256,0.236848785
151,Malta,62.96727208,64.94718554,66.46751744,68.55169113,68.66537811,66.31980886,66.46751744,68.66537811,62.96727208,2.430453098
153,Mauritania,45.00871072,45.13877822,45.36258645,45.65079642,45.75370746,45.38291585,45.36258645,45.75370746,45.00871072,0.319879807
154,Mauritius,62.23457435,61.31510999,61.56682467,62.4483472,62.72279029,62.0575293,62.23457435,62.72279029,61.31510999,0.595531954
155,Mexico,55.53642556,55.76761882,55.41108998,56.13983355,56.32106181,55.83520594,55.76761882,56.32106181,55.41108998,0.38812562
157,Middle East & North Africa,30.04571775,30.7312019,30.49763503,30.3896153,30.40535047,30.41390409,30.40535047,30.7312019,30.04571775,0.246937776
158,Middle East & North Africa (excluding high income),25.61101228,26.23166385,25.8873606,25.77421024,25.77778204,25.8564058,25.77778204,26.23166385,25.61101228,0.231804114
159,Middle East & North Africa (IDA & IBRD),25.61247666,26.2478129,25.89764412,25.77969348,25.78120544,25.86376652,25.78120544,26.2478129,25.61247666,0.237523954
160,Middle income,62.83824648,62.77581409,62.7416832,62.75045659,62.53099874,62.72743982,62.75045659,62.83824648,62.53099874,0.116124857
161,Moldova,87.33255756,87.08398574,85.88073304,88.69563759,88.05428131,87.40943905,87.33255756,88.69563759,85.88073304,1.062885331
163,Mongolia,79.99970368,79.61801958,79.90386453,80.33563439,80.29645502,80.03073544,79.99970368,80.33563439,79.61801958,0.296211008
164,Montenegro,78.41866994,76.37856492,75.40768464,73.8411604,74.04504962,75.6182259,75.40768464,78.41866994,73.8411604,1.877350212
165,Morocco,31.76637973,31.10803462,30.48742557,30.68063688,30.60921867,30.93033909,30.68063688,31.76637973,30.48742557,0.522537453
166,Mozambique,97.2631235,97.47559541,97.73697895,98.02870566,97.81786079,97.66445286,97.73697895,98.02870566,97.2631235,0.299251784
167,Myanmar,64.22520508,62.89442264,61.61577237,61.48215081,61.39657141,62.32282446,61.61577237,64.22520508,61.39657141,1.225803416
168,Namibia,86.16275753,84.13606167,85.87817035,88.15358336,88.56484118,86.57908282,86.16275753,88.56484118,84.13606167,1.806602169
170,Nepal,95.59654198,96.35109962,96.92089341,97.31625154,97.29273204,96.69550372,96.92089341,97.31625154,95.59654198,0.727863504
171,Netherlands,83.05009548,83.42776095,83.9182749,84.09254677,84.33768124,83.76527187,83.9182749,84.33768124,83.05009548,0.52047146
172,New Caledonia,85.27971917,85.13620288,84.85683891,84.66707302,84.46583581,84.88113396,84.85683891,85.27971917,84.46583581,0.33272181
173,New Zealand,84.76427914,85.22286334,85.30688385,85.96128654,85.97863405,85.44678938,85.30688385,85.97863405,84.76427914,0.520361109
174,Nicaragua,58.70621642,59.25441168,59.80350133,58.66851754,58.96689784,59.07990896,58.96689784,59.80350133,58.66851754,0.46789359
175,Niger,72.3897722,72.41797012,72.47819161,72.56564343,72.40979582,72.45227464,72.41797012,72.56564343,72.3897722,0.071435245
176,Nigeria,82.91917121,82.64163359,82.78566248,83.08845881,82.71620155,82.83022553,82.78566248,83.08845881,82.64163359,0.17688274
177,North America,82.12553802,82.24574899,82.7812429,82.93327969,82.90023171,82.59720826,82.7812429,82.93327969,82.12553802,0.382306291
178,North Macedonia,64.34399353,62.4998114,63.04440378,63.6955988,63.82858616,63.48247873,63.6955988,64.34399353,62.4998114,0.718498958
180,Norway,89.63244216,89.72363476,90.08880089,89.70153994,89.84700221,89.79868399,89.72363476,90.08880089,89.63244216,0.179727687
181,OECD members,75.23312225,75.55600948,75.91974152,76.23954737,76.30470622,75.85062537,75.91974152,76.30470622,75.23312225,0.455613709
182,Oman,34.31419098,34.85778783,34.87911607,34.63139576,34.4691042,34.63031897,34.63139576,34.87911607,34.31419098,0.24472962
183,Other small states,74.20171843,73.86966997,73.98013703,74.13321624,74.143484,74.06564513,74.13321624,74.20171843,73.86966997,0.136801486
184,Pacific island small states,71.37413145,70.8445668,71.07800337,71.2848876,71.56997331,71.23031251,71.2848876,71.56997331,70.8445668,0.278850145
185,Pakistan,29.52144251,28.46352071,27.45037878,26.48271104,26.81453047,27.7465167,27.45037878,29.52144251,26.48271104,1.246791595
187,Panama,64.04152399,64.31853402,64.5240494,66.77751871,66.86356793,65.30503881,64.5240494,66.86356793,64.04152399,1.394347153
188,Papua New Guinea,96.68624054,96.78560655,96.75815779,96.67323732,96.40330349,96.66130914,96.68624054,96.78560655,96.40330349,0.151789557
189,Paraguay,67.45899844,66.97324524,67.22084525,69.70964338,69.99503493,68.27155345,67.45899844,69.99503493,66.97324524,1.456736818
