Country,Gini Index Five Year Average,Workforce Ratio Five Year Average,Happy,Economy,Family,Health,Freedom,Trust,Generous
Netherlands,28.3,83.76527187,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.364717126,0.20761244
Nigeria,35.1,82.83022553,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.861874342,0.033745807
Norway,27.66666667,89.79868399,7.487999916000001,11.08780384,0.952486575,73.20078278,0.955750287,0.26321819399999996,0.13453263
Pakistan,33.5,27.7465167,5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.7457054259999999,0.04489987
Panama,50.075,65.30503881,6.304800033999999,10.03423405,0.902094483,69.60301208,0.880366504,0.851588905,-0.153927714
Paraguay,47.625,68.27155345,5.6921000479999995,9.389982224,0.8987278940000001,65.63993835,0.885923445,0.8347885009999999,0.007997713
Peru,43.275,82.05749051,5.796800137000001,9.456313133,0.8310752509999999,68.10023499,0.8247660990000001,0.8937149640000001,-0.16238822
Philippines,44.4,63.30472103,6.006000042,8.993545532,0.8467300529999999,61.92676163,0.915463448,0.7336341140000001,-0.105463006
Poland,30.9,74.3920933,6.1862998010000005,10.26512432,0.874257445,69.31113434,0.8620557790000001,0.6869270209999999,-0.205084071
Portugal,34.83333333,83.96645111,5.9109001160000005,10.26374245,0.8865907190000001,72.40202332,0.8887478109999999,0.8926295040000001,-0.220714301
Romania,35.43333333,70.24571242,6.123700142000001,10.107584,0.8251615170000001,67.20723724,0.842823207,0.9343002440000001,-0.19781521
Russia,37.3,77.93468671,5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,0.864802599,-0.151153743
Rwanda,43.7,100.33249920000002,3.312299967,7.600104332000001,0.54083544,61.09884644,0.9005894059999999,0.183541179,0.055483952
Serbia,38.5,74.85967778,5.77820015,9.680980682000001,0.881475747,68.21020508,0.726495862,0.843509018,-0.073676221
Sierra Leone,35.7,97.31665406,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.861330688,0.088660747
Slovenia,24.8,84.04336382,6.363399982000001,10.39232254,0.939575672,71.1029892,0.936142623,0.817071021,-0.080603383
Spain,35.56666667,81.61024589,6.4008998870000005,10.46292686,0.921125412,74.40270996,0.751989543,0.765859902,-0.050961714000000005
Sri Lanka,39.8,47.26759545,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.859001756,0.081129618
Sweden,29.2,90.25727966,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.250880182,0.111614622
Switzerland,32.66666667,84.63377863,7.559899807000001,10.97993279,0.942846596,74.10244751,0.921336651,0.303728431,0.105911039
Tajikistan,34.0,59.73639894,5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,0.5920760629999999,-0.025088511
Tanzania,40.5,91.01851576,3.4762001039999997,7.967665195,0.6889331940000001,57.49607468,0.82153976,0.619799435,0.10966868699999999
Thailand,36.45,78.05669402,5.9987998010000005,9.741791725,0.8899732229999999,67.25059509,0.905063033,0.8862723109999999,0.268685192
Togo,43.1,96.42653103,4.187200069,7.357711315,0.551312625,54.71989822,0.6498286129999999,0.7577334640000001,0.002667875
Tunisia,32.8,34.6448284,4.392199993,9.314972877999999,0.6887185570000001,66.89785767,0.593361557,0.867590249,-0.216413811
Turkey,42.025,45.77422743,5.131800175,10.12941933,0.826313555,66.90281677,0.6088304520000001,0.748197377,-0.17104643600000002
Uganda,42.8,89.65615101,4.43200016,7.500389576,0.7649946209999999,55.70820236,0.7317139509999999,0.8367378120000001,0.099487431
Ukraine,25.65,74.22780108,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,0.920636714,-0.030933706000000002
United Kingdom,34.0,83.93979759999999,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.43591591700000004,0.263732493
United States,41.1,82.04549890000001,6.939599991000001,10.92576885,0.914219022,68.29949951,0.842619538,0.6997153159999999,0.149891734
Uruguay,39.75,75.25785036,6.440100192999999,9.948192596,0.92281127,69.00254822,0.892395437,0.635994136,-0.101103112
Vietnam,35.5,88.18350084,5.353499889,8.809545517,0.849987149,67.95273590000001,0.939592957,0.79642123,-0.094533332
Zambia,57.1,88.28466089,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.801289678,0.078037128
Zimbabwe,44.3,87.47583134,3.2992000580000003,7.865711688999999,0.7630927559999999,55.61725998,0.711457908,0.81023699,-0.072063953
